"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"2554",5000,2143,2142,2139,2110,2110,0.578
"2555",5000,2245,2245,2245,2245,2245,0.551
"2557",5000,2056,2055,2055,2055,2055,0.589
"2558",7551,4348,4130,4130,3830,3640,0.51794464309363
"2559",7568,4269,4026,4011,3682,3622,0.521405919661734
"2560",5000,1930,1897,1906,1878,1716,0.6568
"2562",7559,4336,4103,4087,3768,3543,0.531287207302553
"2565",7545,4205,3937,3927,3619,3557,0.52856196156395
"2566",7492,4385,4122,4139,3801,3672,0.509877202349172
"2568",5000,1830,1805,1796,1784,1693,0.6614
"2586",5000,1988,1934,1956,1901,1839,0.6322
"2587",4999,1949,1919,1894,1880,1880,0.623924784956991
"2588",5000,1846,1815,1795,1786,1688,0.6624
"2589",5000,1853,1801,1811,1791,1645,0.671
"2590",7529,4113,3886,3867,3554,3492,0.536193385575774
"2591",7517,4318,4075,4066,3743,3681,0.510309964081415
"2592",7502,4439,4208,4196,3879,3817,0.491202346041056
"2593",7535,4190,3916,3928,3591,3356,0.554611811546118
"2594",7512,4474,4209,4228,3894,3523,0.531017039403621
"2597",5000,1848,1796,1815,1779,1779,0.6442
"2598",5000,1703,1656,1672,1648,1573,0.6854
"2599",5000,1710,1679,1667,1660,1592,0.6816
"2600",5000,1836,1766,1790,1751,1686,0.6628
"2601",4999,1867,1805,1775,1764,1658,0.668333666733347
"2605",7533,4301,4031,4039,3691,3545,0.529403955927253
"2609",5000,1815,1775,1754,1746,1624,0.6752
"2616",7510,4424,4154,4164,3804,3566,0.525166444740346
"2617",7544,4255,4009,3999,3685,3623,0.51975079533404
"2628",7561,4159,3896,3906,3572,3510,0.535775691046158
"2630",7555,4254,3988,3998,3669,3607,0.522567835870285
"2637",5000,1774,1704,1717,1681,1681,0.6638
"2639",7530,4256,4008,4015,3685,3265,0.566401062416999
"2641",4999,1904,1878,1867,1867,1867,0.626525305061012
"2642",5000,1868,1850,1852,1849,1849,0.6302
"2643",7553,4262,3983,4002,3637,3575,0.526678141135972
"2644",5000,1784,1737,1742,1720,1619,0.6762
"2645",5000,1920,1858,1872,1837,1837,0.6326
"2646",5000,1641,1612,1604,1602,1602,0.6796
"2647",5000,2064,2001,2029,1996,1996,0.6008
"2649",7557,4541,4311,4294,3986,3724,0.507211856556835
"2650",5000,1727,1644,1703,1618,1618,0.6764
"2652",7551,4539,4300,4288,3984,3855,0.489471593166468
"2653",5000,1819,1777,1794,1767,1300,0.74
"2654",5000,1698,1668,1670,1648,1424,0.7152
"2655",5000,1801,1751,1746,1730,1730,0.654
"2681",7550,4312,4075,4054,3738,3678,0.512847682119205
